f1,f2,f3,f4,f5,f6,f7,y_target_f1
20.28153,0.14516254,-1.5703508,0.9605406,-5.1809554,3.9605405,23.26251,20.28153
6.222214,0.61283696,0.055921957,-0.78280514,-2.908345,2.2171948,3.8623583,6.222214
24.968042,0.06301687,-1.2988371,1.5321834,-5.5641584,4.532183,31.645948,24.968042
60.79351,-0.99378884,-1.2973026,4.5160937,-8.116393,7.5160937,119.080574,60.79351
4.988235,0.7870195,-0.3093983,-0.8577529,-2.376837,2.142247,2.766745,4.988235
5.564293,1.3628539,0.26652697,-0.28187767,-1.8010656,2.7181222,3.3427672,5.564293
63.72668,-0.9307145,-1.1370014,4.818003,-8.169815,7.818003,127.53197,63.72668
28.582129,-0.45327464,-1.0098982,1.5583588,-6.295325,4.5583587,39.087467,28.582129
2.9208527,1.3116903,-0.36942604,-0.8601675,-0.89095074,2.1398325,1.4944317,2.9208527
21.779573,0.247433,-1.458471,1.2572323,-5.1742187,4.257232,25.758661,21.779573
2.3226645,0.6620119,-1.0295353,-1.497618,-1.5667071,1.502382,0.8712343,2.3226645
2.5770195,0.9361165,-0.7516288,-1.2281886,-1.2826551,1.7718114,1.1351236,2.5770195
14.2857,1.0611203,0.4273867,0.874483,-3.6558208,3.874483,13.453377,14.2857
9.90378,-0.3996521,1.5826929,-5.4510164,3.6496303,3.6496303,-6.4961057,9.90378
6.287761,-0.67923373,0.4580393,-5.1923084,2.71703,2.71703,-3.4352303,6.287761
1.0212582,0.101883374,-1.2380091,-2.249868,-1.6936494,0.750132,-0.015682817,1.0212582
1.234397,1.0919949,2.1120715,-2.0096056,1.3961009,1.3961009,1.1911608,1.234397
16.05638,1.0170369,-0.026656054,1.1001781,-3.8872964,4.1001782,16.031406,16.05638
-0.06416984,-0.016457964,0.8864168,-2.9521258,-0.20927732,0.047874186,-0.08017017,-0.06416984
2.6774025,-0.14117429,-0.45019215,-3.9381328,1.9940602,1.9940602,-0.25985745,2.6774025
58.426624,-0.48889297,-0.7688078,4.771418,-7.4981585,7.771418,111.39457,58.426624
5.4446115,1.1285553,0.07880266,-0.49530107,-2.0673664,2.504699,3.2053366,5.4446115
11.691884,2.3643785,2.3546896,1.5785683,-1.8485175,4.5785685,9.661476,11.691884
2.1156876,-0.83432007,-1.142162,-4.6561394,1.3547591,1.3547591,-1.0036695,2.1156876
1.4605447,0.42255318,-1.0079936,-1.8955342,-1.4525555,1.1044658,0.34841523,1.4605447
11.291499,1.0583884,0.97761285,0.4146207,-3.2869153,3.4146206,9.469162,11.291499
