f1_decoded,f2_decoded,f3_decoded,f4_decoded,f5_decoded,f6_decoded,f7_decoded
37.401234,-9.152083,-5.037148,0.53131515,0.9051653,11.968119,-49.425014
9.747253,-2.296783,-0.9427332,-1.5110652,0.13291532,4.2053204,-12.304914
47.580612,-11.629195,-6.956223,0.71171635,1.6826961,14.6164255,-63.643227
139.43668,-33.271362,-26.782658,-3.2493224,13.990568,36.446964,-194.12877
7.516528,-1.7245693,-0.72462344,-1.8294644,0.1981399,3.5270762,-9.447381
8.46727,-1.9786716,-0.7550562,-1.6079674,0.09875032,3.8455286,-10.587965
147.83154,-35.213894,-28.641438,-3.8643367,15.38091,38.34276,-206.0283
55.965267,-13.644119,-8.700859,0.6350159,2.5122142,16.71978,-75.56019
4.010428,-0.8115144,-0.49777368,-2.490564,0.43884626,2.40266,-5.110776
40.555847,-9.925331,-5.6006413,0.62994057,1.1108539,12.803159,-53.793674
2.87978,-0.5189114,-0.39653668,-2.662449,0.47783807,2.069672,-3.6735177
3.3826056,-0.64912087,-0.43516874,-2.577017,0.45230338,2.2210352,-4.302681
24.970314,-6.1349697,-2.8245194,0.122771025,0.13566828,8.6508045,-32.28658
6.52497,-0.79671115,1.3311068,2.6787567,-3.2576907,6.555571,-0.86285573
4.9476156,-0.7356749,0.9654454,1.1708689,-2.50999,4.777156,-1.6211562
0.96710825,-0.039505824,-0.20354427,-2.7435591,0.3199449,1.291342,-1.121673
1.1327682,-0.044470698,-0.28108445,-2.9702399,0.55872726,1.5283904,-1.4622996
28.477674,-6.9968014,-3.3910859,0.31691843,0.28783873,9.613074,-37.05319
1.5228735,-0.44825554,0.8476412,-0.45842364,-1.9911871,1.2427182,0.13612397
2.3051233,-0.39350617,0.3569572,-1.4649959,-0.60252154,2.6795714,-1.5176752
132.15442,-31.618084,-25.094677,-2.5485435,12.633404,34.85798,-183.7631
8.278333,-1.9267168,-0.7549059,-1.6599319,0.12474528,3.7798386,-10.367535
19.742754,-4.8686733,-1.9780662,-0.16908336,-0.07504283,7.204267,-25.21801
1.447106,-0.23461367,1.2987689,-0.2844832,-2.0623963,2.7136426,0.8324806
1.3477411,-0.115833685,-0.3135001,-2.9739492,0.6017436,1.5646954,-1.7943935
19.211536,-4.7077394,-1.9728473,-0.30401748,-0.023522645,7.033419,-24.558807
0.98015285,-0.21122698,0.6515481,-1.4893687,-0.96806383,1.730019,-0.1335374
30.03192,-7.346426,-3.7539554,0.25365198,0.46889183,9.997332,-39.273678
1.3597215,-0.38331956,0.74779314,-0.6027044,-1.8075331,1.1903535,0.0710162
5.764761,-1.2695632,-0.58303976,-2.119343,0.281298,2.9860005,-7.2390227
1.1963742,-0.34797537,0.7025635,-0.7155129,-1.6782718,1.1808801,0.047001965
191.98466,-45.336567,-38.73127,-7.8307514,23.391714,48.042072,-268.8715
14.796444,-3.5986266,-1.3965425,-0.7356994,-0.060239196,5.7591496,-18.723852
2.0216053,-0.68698996,1.2903656,-0.0005990565,-2.7044687,1.5469384,0.39994764
60.594376,-14.763487,-9.649231,0.6116852,2.9578447,17.88465,-82.130806
1.4766529,-0.4536845,1.371502,0.09462333,-2.5869002,1.8852894,0.66488516
24.10231,-5.93187,-2.659171,0.107427895,0.075478226,8.419968,-31.088873
4.6867356,-0.6228792,2.0326955,2.365732,-3.0803719,6.4064884,1.784939
1.4738241,-0.25343722,0.579426,-1.5617814,-0.6992216,2.3935385,-0.5420125
23.522621,-5.787943,-2.5727196,0.06557524,0.05823773,8.257777,-30.30928
56.17625,-13.749669,-8.50432,0.95844597,2.2737556,16.874184,-75.59607
22.80115,-5.615769,-2.4478662,0.035933405,0.021279365,8.060963,-29.326544
13.072121,-3.1728246,-1.1870062,-0.9285232,-0.04660514,5.246837,-16.485432
5.7885466,-1.2753705,-0.58938944,-2.1221516,0.28664902,2.9868717,-7.2747116
2.0755901,-0.3336872,0.8769219,-0.72446775,-1.3792654,3.0304384,-0.30862135
1.1802866,-0.35471243,0.7150883,-0.7129681,-1.6819888,1.1920844,0.059934743
2.993393,-0.54857606,-0.40382135,-2.6410046,0.47012427,2.105722,-3.8140569
84.87781,-20.643011,-14.674593,0.41553414,5.3694634,23.95996,-116.69509
28.48428,-6.9706664,-3.480749,0.19961172,0.37592825,9.583088,-37.14327
4.0105214,-0.62253946,1.3567842,1.0730748,-2.4511726,4.789637,-0.10818415
30.132887,-7.4238133,-3.5989351,0.4871183,0.3023552,10.087338,-39.2517
5.3717976,-1.1685511,-0.57652414,-2.2213535,0.3357105,2.8429112,-6.7851915
0.8842852,-0.20312376,0.37589914,-1.425394,-1.0192382,1.1757427,-0.12650017
46.811676,-11.479344,-6.654852,0.9092613,1.4569077,14.481207,-62.400883
81.1399,-19.72387,-13.960983,0.3647654,5.0624304,22.999832,-111.43953
72.89112,-17.782646,-11.987425,0.7934341,3.9508433,21.05217,-99.39555
1.3202144,-0.38308418,0.749089,-0.6165545,-1.7876605,1.1956973,0.07859761
6.9105544,-1.5723748,-0.6607332,-1.9103198,0.21310154,3.3431697,-8.67073
31.736483,-7.839602,-3.7939196,0.6604628,0.31018248,10.549036,-41.376003
76.08756,-18.525417,-12.794016,0.57069594,4.4267817,21.78919,-104.10876
2.7396696,-0.48139477,-0.39244136,-2.696098,0.49380633,2.0190878,-3.5054555
9.626669,-2.2778738,-0.85436296,-1.4230533,0.048246264,4.2050138,-12.054699
1.799725,-0.5980169,1.2779068,-0.025155753,-2.600696,1.6233249,0.44947875
1.9197829,-0.25003546,-0.1742582,-2.589218,0.27462193,2.0258448,-2.211322
61.334667,-14.977399,-9.644728,0.81948596,2.8599336,18.137379,-83.008575
117.1917,-28.138872,-21.849058,-1.6129496,10.311708,31.416952,-162.61594
11.604249,-2.7705696,-1.1382037,-1.2649994,0.09423992,4.763614,-14.700277
79.22414,-19.286036,-13.440287,0.5490303,4.7357936,22.574694,-108.571304
31.594923,-7.772589,-3.8753142,0.51402247,0.40781114,10.472458,-41.28
0.76808316,-0.11591609,0.22875544,-1.7591424,-0.7423775,1.1865675,-0.18691723
31.298225,-7.6946445,-3.842446,0.4776901,0.40952834,10.38589,-40.88987
140.68028,-33.524837,-27.144833,-3.534824,14.374394,36.661545,-195.94585
13.720772,-3.3220572,-1.2857517,-0.88106793,-0.036826655,5.4358935,-17.335632
146.4148,-34.914543,-28.254648,-3.5964978,14.995801,38.079018,-203.97356
9.406703,0.3145787,5.122625,9.916081,-6.9939284,16.32758,12.345841
61.1816,-14.919447,-9.707239,0.6930941,2.9469373,18.05889,-82.89539
16.95959,-4.123319,-1.7778546,-0.65923405,0.06844774,6.3388467,-21.699577
5.2740827,-1.1433151,-0.5394666,-2.1939433,0.29810688,2.8460283,-6.618106
17.088406,-4.154591,-1.7991245,-0.652648,0.07425243,6.3741965,-21.874557
7.170671,-0.80903316,1.5050851,3.3362145,-3.5840003,7.3401265,-0.44825512
9.521078,-2.2546442,-0.8530021,-1.4519827,0.067065954,4.164753,-11.941919
30.820435,-7.5730133,-3.7766774,0.4362777,0.39944002,10.251192,-40.24959
