z1,z2,z3
-5.295747,39.187717,43.25746
-0.2073198,10.506087,11.991824
-8.283614,49.728134,54.491722
-45.41234,143.34294,150.70105
-0.09204682,8.22625,9.351027
0.023997098,9.181967,10.539445
-49.23955,151.72919,159.2056
-11.179419,58.44417,63.589367
-0.22388014,4.641902,5.118782
-6.139789,42.44347,46.77358
-0.1651218,3.5176685,3.7629635
-0.17387566,4.02091,4.365987
-2.0299692,26.178865,29.60142
12.362223,11.321396,10.823685
7.2480865,7.192955,7.3128233
-0.26986372,1.3294728,1.1854515
-0.18796241,1.8591022,1.501577
-2.8003347,29.82804,33.51997
1.199649,-1.0237186,1.0411764
2.4622564,3.3402054,3.552953
-41.79585,136.05637,143.54907
-0.014016673,8.996418,10.29406
-0.89913535,20.635342,23.881979
3.7903798,1.3133324,3.5109427
-0.275144,1.952734,1.888111
-0.97352636,20.203398,23.092909
1.3142703,0.77246916,1.8589644
-3.4193172,31.555105,35.050865
0.9627797,-0.7643352,0.902454
-0.070909224,6.4559155,7.2417345
0.8109011,-0.50619125,0.88039386
-70.69367,195.61983,203.24437
-0.36306557,15.655487,18.010208
2.190897,-1.585765,1.5875984
-12.744727,63.226162,68.65704
2.5186543,-0.34172672,2.137648
-1.7806245,25.23401,28.697332
13.78026,9.34365,11.309159
2.2325938,2.0050807,2.906193
-1.6718882,24.63452,28.0404
-10.636802,58.51178,64.163445
-1.4962327,23.85995,27.267622
-0.17824847,13.825647,16.075357
-0.090123914,6.4724746,7.2685413
3.714236,2.7539399,4.0235777
0.8209873,-0.4916175,0.92334765
-0.16136304,3.6328259,3.9006436
-21.1091,88.23275,95.29533
-3.0190127,29.934706,33.350002
8.29847,6.356818,7.7124324
-3.0200236,31.473564,35.49931
-0.14928722,6.02555,6.778034
0.46668515,0.096806824,0.9138222
-7.6595674,48.824,53.878174
-19.974442,84.423935,91.10595
-16.444855,75.78935,82.40784
0.9427759,-0.71942735,0.9379564
-0.051625885,7.5912848,8.654863
-3.2173285,33.06005,37.430305
-17.919762,79.161224,85.718864
-0.18894899,3.3714468,3.587626
0.0018405616,10.366204,11.9228
2.1962235,-1.1323302,1.6985308
0.5340249,3.0039172,2.455397
-12.594377,63.89656,69.68686
-35.267494,121.03901,128.26376
-0.33963934,12.409185,14.174299
-18.993595,82.38625,89.16729
-3.4424179,33.027683,37.06635
0.3298129,0.3592037,0.95572126
-3.4137657,32.737823,36.70257
-46.32557,144.58305,151.71661
-0.29065958,14.563791,16.73206
-48.301147,150.31842,157.97359
45.944347,29.8857,30.314348
-12.783515,63.794895,69.3877
-0.9203532,17.923693,20.384071
-0.038678117,5.9718904,6.657906
-0.94948053,18.059599,20.525501
14.666852,13.115038,12.366986
-0.023120895,10.229628,11.824153
-3.3359792,32.257355,36.1416
-42.65103,138.67244,146.42348
-0.23404476,2.8374357,2.9490151
0.99098516,-0.78341264,0.9448073
-0.21446404,2.5790393,2.6403522
-15.75034,72.58526,78.68664
-2.8190732,28.94037,32.24902
-0.24497125,2.8062325,2.9117641
-5.677966,41.273743,45.68129
-0.9258021,20.222782,23.203016
-17.6272,78.0123,84.41823
0.46812883,0.043720536,0.87868315
-0.072384246,5.341054,5.9110484
-0.09485633,4.959228,5.488331
2.9793005,3.6526902,3.9614325
-2.47641,27.61131,30.8996
-2.2102714,27.008621,30.474836
-0.42083874,16.084646,18.469578
-0.10115618,7.7319775,8.743971
3.9313874,0.8309636,3.3863852
-0.13173005,4.5874243,5.0436277
-0.13114378,4.735407,5.183604
0.5707826,-0.18381356,0.8719764
-0.19742316,9.580448,10.8973
-4.0363007,35.6185,39.867813
-73.96337,204.21916,212.52876
-1.3698446,22.015577,24.914349
-2.2138834,27.260105,30.825356
-0.320544,12.42715,14.204112
12.526422,11.377006,10.924637
-0.5037667,13.579896,15.476663
-0.6959071,18.453373,21.179922
-139.00986,321.36945,326.95593
-0.10595103,9.338937,10.659256
-2.5471437,27.998888,31.335653
-0.3065738,15.200419,17.5242
2.7780867,-1.3646741,1.9460024
-24.641356,96.449394,103.49728
-10.874534,58.361206,63.74802
-11.957456,61.799923,67.42067
1.0084344,-0.79334354,0.9813512
-37.896862,126.62308,133.78575
3.1777563,1.8636692,3.3816054
-7.2072926,47.716953,52.831917
-104.75151,260.12003,267.0347
0.42308715,0.33749202,1.0236306
-0.25955132,3.5504425,3.8173463
-0.91940105,18.857576,21.47485
-0.34735453,1.509944,1.3509823
4.0394897,4.2489414,4.78977
-0.7430785,17.831629,20.361677
0.4130592,1.6492548,1.5996327
-5.009355,38.82264,43.08709
1.6337495,-1.5461063,1.1853813
-47.158215,146.64915,153.88655
-0.25670564,1.063835,1.1214635
-0.05388739,5.7755647,6.4366436
-12.611063,63.851555,69.61202
1.7523926,1.1656632,2.3070695
-1.8394979,24.82808,28.024206
-32.603916,115.079216,122.29076
4.8623447,4.7585893,5.4685574
-1.5570183,23.948196,27.27316
-2.2425148,27.429214,31.017418
-11.692242,60.931217,66.48415
2.581183,-0.19796611,2.2299712
3.214331,0.11590066,2.696939
-5.7062435,40.471653,44.554302
-2.6090717,28.988422,32.631767
-2.2623863,28.204632,32.08439
-3.0948966,30.5275,34.06927
0.86656755,-0.51794976,0.9542438
-1.8604835,24.686487,27.80396
-2.6066031,29.231077,32.97709
-0.041871034,0.84257466,1.0790377
-71.91194,198.23624,205.92534
-4.929627,37.931343,41.957474
2.3830042,-0.5443696,1.968108
-8.4286995,49.79267,54.439804
1.1070848,-0.89682037,1.0986015
-11.933907,62.407738,68.25842
-25.18986,96.48147,103.11349
1.9286308,-1.9200414,1.2436405
-17.569616,78.91719,85.67698
-4.014584,34.534206,38.39663
-12.955568,65.62208,71.694435
-74.70868,203.74072,211.41972
-0.08401533,7.989369,9.074445
0.23123077,0.33123538,0.92075217
1.6629244,-1.5840703,1.1779977
0.8068197,-0.5224485,0.9087721
-0.27040052,12.651875,14.491399
-2.9905195,29.824173,33.236374
-2.3950417,28.02853,31.6161
-12.98326,64.7325,70.4759
-0.47985265,16.02184,18.358847
-40.91495,133.00774,140.11961
-0.08231265,9.16575,10.559074
-177.512,388.8464,393.2391
-7.967332,49.933098,55.076893
1.2456692,-1.085677,1.0331296
2.5154283,-2.0440886,1.6830119
-5.3244867,41.202923,45.984917
-0.07438754,8.640178,9.847579
-9.86664,54.95471,60.067364
-5.037091,39.163864,43.52282
-0.21377015,14.223459,16.438078
1.0456097,-0.8459992,0.9669517
2.760984,5.360401,4.4863505
-0.20585921,4.970776,5.512579
-13.791941,66.51201,72.177475
-1.7092233,24.011986,27.109865
1.799422,1.3202679,2.394249
-1.5625644,20.2426,22.70561
-3.6685967,33.389885,37.26303
1.9398782,-1.9293331,1.263029
-1.2335598,21.460045,24.373125
-0.6671788,17.640879,20.173414
2.38488,-1.0583009,1.8156593
-3.268044,31.464725,35.132404
-6.4624195,43.42362,47.766037
-22.231447,91.66234,98.991234
-21.00571,88.20805,95.34459
4.035816,-0.18090089,3.0226357
-0.23328397,0.88498133,0.91105056
-5.6777134,41.046906,45.37159
-5.7020173,41.468616,45.920887
-5.7074556,41.367477,45.77664
-429.7091,782.67303,770.4003
-6.841641,46.09308,51.00156
-24.283045,95.24692,102.17021
-17.057669,76.062126,82.270805
-8.33486,49.656948,54.346134
-0.063526325,5.600213,6.2161417
-10.947285,57.698853,62.791767
0.71313924,-0.37482607,0.88906586
-0.050150894,7.1872177,8.083415
-0.19421571,2.9192479,3.0473304
-0.88591087,20.172407,23.223854
-119.738556,288.88043,295.7651
11.035953,9.216689,9.753748
-9.249271,53.437756,58.590397
4.208834,7.128784,5.724864
-0.17987275,3.99157,4.3315325
-22.246277,89.793915,96.48145
-0.8389568,16.864462,19.180426
1.6312827,-0.59550047,1.5358589
-0.39315373,1.4263499,1.2619393
-9.0436125,52.412205,57.397854
0.22951326,0.3772716,0.9411134
